
Player 1 bot, Player 2 bot, Player 1 wins, Player 2 wins, P1 avg hits, P1 avg blocks, P2 avg hits, P2 avg blocks
rand, rand, 532, 468, 11.121, 2.507, 10.866, 2.565
block, block, 500, 500, 11.106, 8.618, 11.022, 8.939
best, best, 489, 511, 10.729, 10.805, 10.832, 11.345
better, better, 508, 492, 12.685, 12.306, 12.804, 12.709
future, future, 520, 480, 12.632, 11.653, 12.585, 12.185
damage, damage, 475, 525, 12.743, 10.967, 12.951, 11.315
rand, block, 191, 809, 9.114, 2.812, 11.963, 6.917
rand, best, 35, 965, 6.965, 2.985, 12.412, 6.511
rand, better, 12, 988, 7.163, 2.938, 12.583, 6.654
rand, future, 20, 980, 7.782, 3.03, 12.635, 6.849
rand, damage, 8, 992, 7.15, 2.992, 12.522, 5.869
block, rand, 842, 158, 12.116, 6.382, 8.995, 2.837
block, best, 150, 850, 8.847, 9.952, 12.101, 8.802
block, better, 67, 933, 9.233, 10.144, 12.457, 9.107
block, future, 109, 891, 9.792, 10.053, 12.255, 9.275
block, damage, 55, 945, 9.235, 10.242, 12.37, 8.113
best, rand, 976, 24, 12.408, 5.862, 6.978, 2.939
best, block, 820, 180, 12.011, 8.16, 9.054, 10.335
best, better, 282, 718, 11.639, 11.567, 11.579, 12.103
best, future, 394, 606, 11.974, 11.001, 11.307, 11.819
best, damage, 253, 747, 11.484, 11.002, 11.637, 10.226
better, rand, 993, 7, 12.48, 5.808, 7.115, 2.884
better, block, 922, 78, 12.318, 8.679, 9.576, 10.766
better, best, 717, 283, 11.533, 11.526, 11.696, 11.959
better, future, 602, 398, 12.964, 11.515, 12.282, 12.568
better, damage, 453, 547, 12.697, 12.18, 13.018, 11.028
future, rand, 986, 14, 12.513, 6.12, 7.557, 2.941
future, block, 896, 104, 12.326, 8.681, 9.802, 10.328
future, best, 590, 410, 11.165, 11.484, 12.174, 11.679
future, better, 384, 616, 12.215, 12.152, 13.009, 12.053
future, damage, 351, 649, 12.165, 12.141, 13.129, 10.924
damage, rand, 993, 7, 12.446, 5.224, 7.097, 2.981
damage, block, 932, 68, 12.389, 7.849, 9.473, 10.737
damage, best, 705, 295, 11.517, 10.258, 11.705, 12.097
damage, better, 527, 473, 12.806, 10.685, 12.82, 12.807
damage, future, 606, 394, 12.988, 10.371, 12.387, 12.818
Player 1 bot, Player 2 bot, Player 1 wins, Player 2 wins, P1 avg hits, P1 avg blocks, P2 avg hits, P2 avg blocks
rand, rand, 7, 3, 11.0, 2.4, 10.8, 2.8
block, block, 1, 9, 10.5, 8.6, 11.0, 9.2
best, best, 3, 7, 9.9, 9.6, 11.0, 10.4
better, better, 4, 6, 13.2, 12.3, 12.4, 12.9
future, future, 4, 6, 12.2, 11.6, 13.2, 10.7
damage, damage, 6, 4, 12.3, 10.6, 12.0, 10.1
rand, block, 4, 6, 9.8, 3.4, 12.1, 8.6
rand, best, 0, 10, 5.7, 3.4, 12.4, 7.2
rand, better, 0, 10, 6.2, 2.2, 12.3, 6.3
rand, future, 0, 10, 8.1, 4.0, 12.7, 7.0
rand, damage, 0, 10, 7.2, 3.1, 13.0, 6.4
block, rand, 9, 1, 12.1, 6.6, 8.5, 3.2
block, best, 1, 9, 8.8, 11.2, 12.0, 10.3
block, better, 0, 10, 9.0, 8.7, 12.3, 8.5
block, future, 2, 8, 10.7, 10.4, 12.3, 10.2
block, damage, 0, 10, 8.0, 9.2, 12.1, 7.6
best, rand, 10, 0, 13.4, 7.3, 7.8, 3.2
best, block, 10, 0, 12.6, 7.5, 8.6, 10.0
best, better, 4, 6, 12.2, 9.9, 12.0, 11.8
best, future, 4, 6, 12.4, 11.5, 11.3, 11.2
best, damage, 2, 8, 11.5, 13.8, 11.9, 12.7
better, rand, 10, 0, 12.3, 4.9, 7.0, 3.3
better, block, 9, 1, 12.6, 9.3, 9.8, 11.6
better, best, 7, 3, 11.6, 10.7, 12.1, 12.3
better, future, 5, 5, 13.5, 12.2, 13.3, 14.6
better, damage, 6, 4, 13.3, 11.4, 12.5, 9.8
future, rand, 10, 0, 12.3, 6.0, 6.6, 2.9
future, block, 9, 1, 12.7, 7.6, 10.3, 9.1
future, best, 4, 6, 11.3, 13.9, 12.8, 13.1
future, better, 4, 6, 11.0, 8.7, 12.7, 11.0
future, damage, 4, 6, 12.6, 12.0, 12.8, 11.8
damage, rand, 10, 0, 12.2, 4.9, 7.4, 2.3
damage, block, 8, 2, 12.5, 7.2, 9.2, 10.5
damage, best, 8, 2, 11.2, 12.3, 10.8, 14.5
damage, better, 4, 6, 12.3, 9.9, 13.4, 12.7
damage, future, 5, 5, 12.7, 10.9, 12.8, 11.6
Player 1 bot, Player 2 bot, Player 1 wins, Player 2 wins, P1 avg hits, P1 avg blocks, P2 avg hits, P2 avg blocks
rand, rand, 7, 3, 11.4, 2.3, 10.5, 2.3
block, block, 6, 4, 11.4, 8.6, 11.3, 9.8
best, best, 6, 4, 10.6, 12.8, 10.4, 13.7
